parent_id	parent_reactome_id	parent_name	parent_type	child_id	child_reactome_id	child_name	child_type	polarity	type
5693561_5685317_5685341	5685317	3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-T309-RAD51:p-T3387-BRCA2:SEM1 [nucleoplasm]	Complex	5685341	5685341	BCDX2 complex stabilizes RAD51 filament	Reaction	POS	AND
5693542	5693542	Association of RPA complexes with ssDNA at resected DNA DSBs	Reaction	5693542_5693552_5684875	5693552	RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	POS	AND
5693542_5693552_5684875	5693552	RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	5684875	5684875	Binding of ATR:ATRIP to RPA at resected DNA DSBs	Reaction	POS	AND
5685242	5685242	CHEK1 phosphorylates BRCA2	Reaction	5685242_9763139_5693561	9763139	p-T3387-BRCA2:SEM1 [nucleoplasm]	Complex	POS	AND
5685242_9763139_5693561	9763139	p-T3387-BRCA2:SEM1 [nucleoplasm]	Complex	5693561	5693561	RAD51 binds BRCA2 at resected DNA DSBs	Reaction	POS	AND
5685985	5685985	EXO1 or DNA2 in complex with BLM or WRN binds initially resected DNA DSBs along with BRIP1 recruitment	Reaction	5685985_5685989_5685994	5685989	3' short overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	POS	AND
5685985_5685989_5685994	5685989	3' short overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1 [nucleoplasm]	Complex	5685994	5685994	Long-range resection of DNA DSBs by EXO1 or DNA2	Reaction	POS	AND
5693620	5693620	D-loop formation mediated by PALB2, BRCA2 and RAD51	Reaction	5693620_5685658_5685838	5685658	D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1 [nucleoplasm]	Complex	POS	AND
5693620_5685658_5685838	5685658	D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1 [nucleoplasm]	Complex	5685838	5685838	CX3 complex binds D-loop structures	Reaction	POS	AND
5685838	5685838	CX3 complex binds D-loop structures	Reaction	5685838_5685826_5693593	5685826	D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	POS	AND
5685838_5685826_5693593	5685826	D-Loop:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	5693593	5693593	D-loop extension by DNA polymerases	Reaction	POS	AND
5686642	5686642	RAD52 promotes single strand annealing at resected DNA DSBs	Reaction	5686642_5686613_5686657	5686613	RAD51:p-Y104-RAD52:p-RPA:ATR:ATRIP:DNA DSBs with annealed 3' ssDNA overhangs and displaced flaps:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	POS	AND
5686642_5686613_5686657	5686613	RAD51:p-Y104-RAD52:p-RPA:ATR:ATRIP:DNA DSBs with annealed 3' ssDNA overhangs and displaced flaps:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	5686657	5686657	ERCC1:XPF cleaves flaps generated by SSA	Reaction	POS	AND
5684140	5684140	ATM phosphorylates RBBP8	Reaction	5684140_5684135_5684108	5684135	DNA DSBs:p-MRN:p-S327,T847,T859-RBBP8:p-S1981,Ac-K3016-ATM:KAT5 [nucleoplasm]	Complex	POS	AND
5684140_5684135_5684108	5684135	DNA DSBs:p-MRN:p-S327,T847,T859-RBBP8:p-S1981,Ac-K3016-ATM:KAT5 [nucleoplasm]	Complex	5684108	5684108	BRCA1 binds phosphorylated RBBP8	Reaction	POS	AND
5693580	5693580	Association of RAD52 with the RPA complex at resected DNA DSBs	Reaction	5693580_5693547_5693564	5693547	p-Y104-RAD52:p-RPA:ATR:ATRIP:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	POS	AND
5693580_5693547_5693564	5693547	p-Y104-RAD52:p-RPA:ATR:ATRIP:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	5693564	5693564	Association of RAD51 with RAD52:DNA double-strand break ends	Reaction	POS	AND
5685156	5685156	ATR phosphorylates RPA2	Reaction	5685156_5685162_5684882	5685162	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	POS	AND
5685156_5685162_5684882	5685162	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	5684882	5684882	CHEK1 is recruited to resected DNA DSBs	Reaction	POS	AND
5685156	5685156	ATR phosphorylates RPA2	Reaction	5685156_5685162_5693580	5685162	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	POS	AND
5685156_5685162_5693580	5685162	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	5693580	5693580	Association of RAD52 with the RPA complex at resected DNA DSBs	Reaction	POS	AND
5685230	5685230	CHEK1 phosphorylates RAD51	Reaction	5685230_5685231_5693561	5685231	p-T309-RAD51 [nucleoplasm]	EntityWithAccessionedSequence	POS	AND
5685230_5685231_5693561	5685231	p-T309-RAD51 [nucleoplasm]	EntityWithAccessionedSequence	5693561	5693561	RAD51 binds BRCA2 at resected DNA DSBs	Reaction	POS	AND
5693608	5693608	Initial resection of double-strand break ends	Reaction	5693608_5685983_5685985	5685983	3' short overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex [nucleoplasm]	Complex	POS	AND
5693608_5685983_5685985	5685983	3' short overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex [nucleoplasm]	Complex	5685985	5685985	EXO1 or DNA2 in complex with BLM or WRN binds initially resected DNA DSBs along with BRIP1 recruitment	Reaction	POS	AND
5684052	5684052	PIAS4 SUMOylates MDC1	Reaction	5684052_5684053_5684071	5684053	DNA DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:K63PolyUb-K14,K16,p-S139-H2AFX,Me2K21-HIST1H4A-Nucleosome:SUMO2:K1840,p-5T-MDC1:p-S102-WHSC1:RNF8:Zn2+:SUMO1:p-T4827-HERC2:UBE2N:UBE2V2:RNF168:PIAS4:p-S25,S1778-TP53BP1:p-5S,2T-BRCA1-A complex [nucleoplasm]	Complex	POS	AND
5684052_5684053_5684071	5684053	DNA DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:K63PolyUb-K14,K16,p-S139-H2AFX,Me2K21-HIST1H4A-Nucleosome:SUMO2:K1840,p-5T-MDC1:p-S102-WHSC1:RNF8:Zn2+:SUMO1:p-T4827-HERC2:UBE2N:UBE2V2:RNF168:PIAS4:p-S25,S1778-TP53BP1:p-5S,2T-BRCA1-A complex [nucleoplasm]	Complex	5684071	5684071	RNF4 ubiquitinates MDC1	Reaction	POS	AND
5693564	5693564	Association of RAD51 with RAD52:DNA double-strand break ends	Reaction	5693564_5693590_5686642	5693590	RAD51:p-Y104-RAD52:p-RPA:ATR:ATRIP:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	POS	AND
5693564_5693590_5686642	5693590	RAD51:p-Y104-RAD52:p-RPA:ATR:ATRIP:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	5686642	5686642	RAD52 promotes single strand annealing at resected DNA DSBs	Reaction	POS	AND
5685318	5685318	BCDX2 complex formation	Reaction	5685318_5685316_5685341	5685316	BCDX2 complex [nucleoplasm]	Complex	POS	AND
5685318_5685316_5685341	5685316	BCDX2 complex [nucleoplasm]	Complex	5685341	5685341	BCDX2 complex stabilizes RAD51 filament	Reaction	POS	AND
5686228	5686228	Holliday Junction:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	5686410	5686410	BLM mediates dissolution of double Holliday junction	Reaction	POS	AND
176269	176269	ATR:ATRIP [nucleoplasm]	Complex	5684875	5684875	Binding of ATR:ATRIP to RPA at resected DNA DSBs	Reaction	POS	AND
5686228	5686228	Holliday Junction:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:p-BRCA1-C complex:PALB2:p-T3387-BRCA2:SEM1:p-T309-RAD51:RAD51AP1:CX3 complex [nucleoplasm]	Complex	5693584	5693584	Cleavage of Holliday junctions by GEN1 or SLX1A:SLX4:MUS81:EME1,(MUS81:EME2)	Reaction	POS	AND
5684985	5684985	TIMELESS:TIPIN [nucleoplasm]	Complex	5684882	5684882	CHEK1 is recruited to resected DNA DSBs	Reaction	POS	AND
176296	176296	p-T916,S945-CLSPN [nucleoplasm]	EntityWithAccessionedSequence	5684882	5684882	CHEK1 is recruited to resected DNA DSBs	Reaction	POS	AND
113826	113826	CHEK1 [nucleoplasm]	EntityWithAccessionedSequence	5684882	5684882	CHEK1 is recruited to resected DNA DSBs	Reaction	POS	AND
176312	176312	RAD9:HUS1:RAD1 [nucleoplasm]	Complex	5685011	5685011	ATR activation at DNA DSBs	Reaction	POS	AND
5684878	5684878	TOPBP1 [nucleoplasm]	EntityWithAccessionedSequence	5685011	5685011	ATR activation at DNA DSBs	Reaction	POS	AND
5684880	5684880	RHNO1 [nucleoplasm]	EntityWithAccessionedSequence	5685011	5685011	ATR activation at DNA DSBs	Reaction	POS	AND
176353	176353	RAD17:RFC [nucleoplasm]	Complex	5685011	5685011	ATR activation at DNA DSBs	Reaction	POS	AND
5686443	5686443	MUS81 [nucleoplasm]	EntityWithAccessionedSequence	5686430	5686430	MUS81 binds EME1, EME2	Reaction	POS	AND
5686454	5686454	EME1,EME2 [nucleoplasm]	CandidateSet	5686430	5686430	MUS81 binds EME1, EME2	Reaction	POS	AND
1638790	1638790	Sister Chromatid [chromosome]	OtherEntity	5693620	5693620	D-loop formation mediated by PALB2, BRCA2 and RAD51	Reaction	POS	AND
419548	419548	PALB2 [nucleoplasm]	EntityWithAccessionedSequence	5693620	5693620	D-loop formation mediated by PALB2, BRCA2 and RAD51	Reaction	POS	AND
5685301	5685301	RAD51AP1 [nucleoplasm]	EntityWithAccessionedSequence	5693620	5693620	D-loop formation mediated by PALB2, BRCA2 and RAD51	Reaction	POS	AND
8866674	8866674	SEM1 [cytosol]	EntityWithAccessionedSequence	9763137	9763137	BRCA2 binds SEM1 (DSS1)	Reaction	POS	AND
9709265	9709265	BRCA2 [cytosol]	EntityWithAccessionedSequence	9763137	9763137	BRCA2 binds SEM1 (DSS1)	Reaction	POS	AND
5685960	5685960	Ac-K432,K526,K604-RBBP8 homotetramer [nucleoplasm]	Complex	5685953	5685953	SIRT6 deacetylates RBBP8	Reaction	POS	AND
217039	217039	RAD51C [nucleoplasm]	EntityWithAccessionedSequence	5685318	5685318	BCDX2 complex formation	Reaction	POS	AND
216920	216920	RAD51D [nucleoplasm]	EntityWithAccessionedSequence	5685318	5685318	BCDX2 complex formation	Reaction	POS	AND
983271	983271	RAD51B [nucleoplasm]	EntityWithAccessionedSequence	5685318	5685318	BCDX2 complex formation	Reaction	POS	AND
5685302	5685302	XRCC2 [nucleoplasm]	EntityWithAccessionedSequence	5685318	5685318	BCDX2 complex formation	Reaction	POS	AND
217039	217039	RAD51C [nucleoplasm]	EntityWithAccessionedSequence	5685319	5685319	CX3 complex formation	Reaction	POS	AND
5685303	5685303	XRCC3 [nucleoplasm]	EntityWithAccessionedSequence	5685319	5685319	CX3 complex formation	Reaction	POS	AND
5686480	5686480	SLX1A:SLX4 [nucleoplasm]	Complex	5686475	5686475	SLX1A:SLX4 binds MUS81:EME1,(MUS81:EME2)	Reaction	POS	AND
2993778	2993778	SUMO2:UBE2I [nucleoplasm]	Complex	5684052	5684052	PIAS4 SUMOylates MDC1	Reaction	POS	AND
5683808	5683808	DNA DNA DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:K63PolyUb-K14,K16,p-S139-H2AFX,Me2K21-HIST1H4A-Nucleosome:p-5T-MDC1:p-S102-WHSC1:RNF8:Zn2+:SUMO1:p-T4827-HERC2:UBE2N:UBE2V2:RNF168:PIAS4:p-S25,S1778-TP53BP1:p-5S,2T-BRCA1-A complex [nucleoplasm]	Complex	5684052	5684052	PIAS4 SUMOylates MDC1	Reaction	POS	AND
62639	62639	RAD52 [nucleoplasm]	EntityWithAccessionedSequence	75998	75998	Formation of RAD52 heptameric ring structure complexes	Reaction	POS	AND
5685980	5685980	EXO1,DNA2:BLM,WRN [nucleoplasm]	DefinedSet	5685985	5685985	EXO1 or DNA2 in complex with BLM or WRN binds initially resected DNA DSBs along with BRIP1 recruitment	Reaction	POS	AND
5687710	5687710	p-S990,Ac-K1249-BRIP1 [nucleoplasm]	EntityWithAccessionedSequence	5685985	5685985	EXO1 or DNA2 in complex with BLM or WRN binds initially resected DNA DSBs along with BRIP1 recruitment	Reaction	POS	AND
68524	68524	Ub [nucleoplasm]	DefinedSet	5684071	5684071	RNF4 ubiquitinates MDC1	Reaction	POS	AND
62637	62637	RAD51 [nucleoplasm]	EntityWithAccessionedSequence	5685230	5685230	CHEK1 phosphorylates RAD51	Reaction	POS	AND
187952	187952	CCNA:p-T160-CDK2 [nucleoplasm]	Complex	5684081	5684081	MRN complex binds CDK2 and RBBP8	Reaction	POS	AND
5685162	5685162	ATR:ATRIP:p-RPA:3' overhanging ssDNA-DSBs:p-MRN:p-S1981,Ac-K3016-ATM:KAT5:BRCA1-C complex:EXO1,DNA2:BLM,WRN:p-S990,Ac-K1249-BRIP1:RAD17:RFC:RAD9:HUS1:RAD1:RHNO1:TOPBP1 [nucleoplasm]	Complex	5693561	5693561	RAD51 binds BRCA2 at resected DNA DSBs	Reaction	POS	AND
