parent_id	parent_reactome_id	parent_name	parent_type	child_id	child_reactome_id	child_name	child_type	polarity	type
169291	169291	MAPKs [cytosol]	DefinedSet	5674132	5674132	WDR83:LAMTOR2:LAMTOR3 binds MAPK components	Reaction	POS	AND
5674133	5674133	WDR83:LAMTOR2:LAMTOR3 [endosome membrane]	Complex	5674132	5674132	WDR83:LAMTOR2:LAMTOR3 binds MAPK components	Reaction	POS	AND
8867651	8867651	PTPN3:p-T183,Y185-MAPK12 [cytosol]	Complex	8868118	8868118	MAPK12 phosphorylates PTPN3	Reaction	POS	AND
61487	61487	PEBP1 [cytosol]	EntityWithAccessionedSequence	5675417	5675417	PEBP1 binds activated RAF1	Reaction	POS	AND
5675414	5675414	p21RAS:GTP:activated RAF1 homo/heterodimer [plasma membrane]	Complex	5675417	5675417	PEBP1 binds activated RAF1	Reaction	POS	AND
5672708	5672708	inactive RAFs [cytosol]	DefinedSet	5674140	5674140	PAQR3 binds inactive RAFs	Reaction	POS	AND
5674103	5674103	PAQR3 [Golgi membrane]	EntityWithAccessionedSequence	5674140	5674140	PAQR3 binds inactive RAFs	Reaction	POS	AND
9647962	9647962	S-Farn-Me-PalmS KRAS4A, HRAS, NRAS [plasma membrane]	DefinedSet	9647994	9647994	RAS proteins are depalmitoylated	Reaction	POS	AND
9635737	9635737	PTPN7 [cytosol]	EntityWithAccessionedSequence	9635743	9635743	PTPN7 binds p-T,Y-MAPK	Reaction	POS	AND
5672938	5672938	BRAP [cytosol]	EntityWithAccessionedSequence	5674018	5674018	BRAP binds RAS:GTP	Reaction	POS	AND
109783	109783	p21 RAS:GTP [plasma membrane]	Complex	5674018	5674018	BRAP binds RAS:GTP	Reaction	POS	AND
5672938	5672938	BRAP [cytosol]	EntityWithAccessionedSequence	5674019	5674019	BRAP binds KSR1:MARK3	Reaction	POS	AND
5672689	5672689	KSR1:MARK3 [cytosol]	Complex	5674019	5674019	BRAP binds KSR1:MARK3	Reaction	POS	AND
169291	169291	MAPKs [cytosol]	DefinedSet	5674366	5674366	IL17RD binds p-2S MAP2Ks and MAPKs	Reaction	POS	AND
5674277	5674277	IL17RD [Golgi membrane]	EntityWithAccessionedSequence	5674366	5674366	IL17RD binds p-2S MAP2Ks and MAPKs	Reaction	POS	AND
113595	113595	Ub [cytosol]	DefinedSet	5674022	5674022	BRAP autoubiquitinates	Reaction	POS	AND
5675414	5675414	p21RAS:GTP:activated RAF1 homo/heterodimer [plasma membrane]	Complex	5675433	5675433	PP5 dephosphorylates RAF1 S338	Reaction	POS	AND
113595	113595	Ub [cytosol]	DefinedSet	5658424	5658424	KBTBD7:CUL3:RBX1 ubiquitinates NF1	Reaction	POS	AND
5672665	5672665	p-S338,Y341,T491,S494,S621 RAF1 [plasma membrane]	EntityWithAccessionedSequence	5675194	5675194	Activated MAPK phosphorylates RAF1	Reaction	POS	AND
5672679	5672679	p-S445,T599,S602,S729 BRAF [plasma membrane]	EntityWithAccessionedSequence	5675198	5675198	Activated MAPKs phosphorylate BRAF	Reaction	POS	AND
5658216	5658216	RAS GAPs [cytosol]	DefinedSet	5658435	5658435	RAS GAPs bind RAS:GTP	Reaction	POS	AND
109783	109783	p21 RAS:GTP [plasma membrane]	Complex	5658435	5658435	RAS GAPs bind RAS:GTP	Reaction	POS	AND
9649715	9649715	mature p21 RAS [plasma membrane]	DefinedSet	9649733	9649733	mature p21 RAS binds GDP	Reaction	POS	AND
5658219	5658219	SPRED dimer [plasma membrane]	CandidateSet	5658438	5658438	SPRED dimer binds NF1	Reaction	POS	AND
947770	947770	NF1(2-2839) [cytosol]	EntityWithAccessionedSequence	5658438	5658438	SPRED dimer binds NF1	Reaction	POS	AND
6788652	6788652	ICMT:Zn2+ [endoplasmic reticulum membrane]	Complex	9656775	9656775	Cysmethynil binds ICMT:Zn2+	Reaction	POS	AND
9656757	9656757	Cysmethynil [cytosol]	Drug	9656775	9656775	Cysmethynil binds ICMT:Zn2+	Reaction	POS	AND
5674340_5675206	5674340	p-T,Y MAPK monomers and dimers [cytosol]	DefinedSet	5675206	5675206	PEA15 binds MAPK monomers and dimers	Reaction	POS	AND
5675204	5675204	PEA15 [cytosol]	EntityWithAccessionedSequence	5675206	5675206	PEA15 binds MAPK monomers and dimers	Reaction	POS	AND
171021	171021	p-T183,Y185-MAPK12 [cytosol]	EntityWithAccessionedSequence	8867654	8867654	PTPN3 binds p-T183,Y185 MAPK12	Reaction	POS	AND
8867650	8867650	PTPN3 [cytosol]	EntityWithAccessionedSequence	8867654	8867654	PTPN3 binds p-T183,Y185 MAPK12	Reaction	POS	AND
9656761	9656761	Deltarasin [cytosol]	Drug	9656781	9656781	Deltarasin binds PDE6D	Reaction	POS	AND
2565921	2565921	PDE6D [cytosol]	EntityWithAccessionedSequence	9656781	9656781	Deltarasin binds PDE6D	Reaction	POS	AND
74294	74294	CALM1:4xCa2+ [cytosol]	Complex	9653585	9653585	S-Farn-Me KRAS4B binds calmodulin	Reaction	POS	AND
9647815	9647815	S-Farn-Me KRAS4B [plasma membrane]	EntityWithAccessionedSequence	9653585	9653585	S-Farn-Me KRAS4B binds calmodulin	Reaction	POS	AND
2028645	2028645	YWHAB dimer [cytosol]	Complex	5672951	5672951	Inactive RAFs bind YWHAB	Reaction	POS	AND
5672708	5672708	inactive RAFs [cytosol]	DefinedSet	5672951	5672951	Inactive RAFs bind YWHAB	Reaction	POS	AND
114236	114236	BCL2L1 [mitochondrial outer membrane]	EntityWithAccessionedSequence	9653595	9653595	pS181-S-Farn-Me KRAS4B binds BCL2L1	Reaction	POS	AND
9653578	9653578	pS181-S-Farn-Me KRAS4B [mitochondrial outer membrane]	EntityWithAccessionedSequence	9653595	9653595	pS181-S-Farn-Me KRAS4B binds BCL2L1	Reaction	POS	AND
9647815	9647815	S-Farn-Me KRAS4B [plasma membrane]	EntityWithAccessionedSequence	9653503	9653503	KRAS4B is phosphorylated on serine 181	Reaction	POS	AND
9657567	9657567	dual mechanism MAP2K1/2 inhibitors [cytosol]	CandidateSet	9657599	9657599	Dual mechanism MAP2K inhibitors bind MAP2Ks	Reaction	POS	AND
9647953	9647953	pro-RAS [cytosol]	DefinedSet	9647978	9647978	pro-RAS proteins are farnesylated	Reaction	POS	AND
5674341	5674341	p-T,Y MAPK monomers and dimers [nucleoplasm]	DefinedSet	5675373	5675373	Nuclear DUSPs dephosphorylate MAPKs	Reaction	POS	AND
9647973	9647973	S-Farn Me KRAS4A, HRAS, NRAS [endoplasmic reticulum membrane]	DefinedSet	9647982	9647982	S-farn Me-HRAS, -NRAS and -KRAS4A are palmitoylated	Reaction	POS	AND
5674340	5674340	p-T,Y MAPK monomers and dimers [cytosol]	DefinedSet	5675376	5675376	Cytosolic DUSPs dephosphorylate MAPKs	Reaction	POS	AND
2530496	2530496	FNTA:FNTB [cytosol]	Complex	9647987	9647987	FNTB inhibitors bind FNTA:FNTB	Reaction	POS	AND
9653479	9653479	FNTB inhibitors [cytosol]	DefinedSet	9647987	9647987	FNTB inhibitors bind FNTA:FNTB	Reaction	POS	AND
9657579	9657579	RAF dimer inhibitors [cytosol]	DefinedSet	9653108	9653108	Raf dimer inhibitors bind RAF heterodimers	Reaction	POS	AND
5672689	5672689	KSR1:MARK3 [cytosol]	Complex	5672948	5672948	MARK3 phosphorylates KSR1	Reaction	POS	AND
5672710	5672710	'activator' RAF:YWHAB dimer [cytosol]	Complex	5672950	5672950	"""Activator"" RAF:YWHAB dimer binds RAS:GTP"	Reaction	POS	AND
2565921	2565921	PDE6D [cytosol]	EntityWithAccessionedSequence	9654525	9654525	PDE6D binds S-Farn-Me KRAS4B:CALM:4 Ca2+	Reaction	POS	AND
9654512	9654512	S-Farn-Me KRAS4B:CALM1:4xCa2+ [cytosol]	Complex	9654525	9654525	PDE6D binds S-Farn-Me KRAS4B:CALM:4 Ca2+	Reaction	POS	AND
2028645	2028645	YWHAB dimer [cytosol]	Complex	5672954	5672954	p-S311,S406 KSR1:MARK3 binds YWHAB dimer	Reaction	POS	AND
5250197	5250197	ARL2:GTP [cytosol]	Complex	9654523	9654523	ARL2:GTP bind PDE6D on KRAS4B	Reaction	POS	AND
5672960	5672960	YWHAB dimer dissociates from dephosphorylated RAF	Reaction	2028645_output	2028645	YWHAB dimer [cytosol]	Complex	POS	AND
5672960	5672960	YWHAB dimer dissociates from dephosphorylated RAF	Reaction	5672726_output	5672726	dephosphorylated inactive RAFs [cytosol]	DefinedSet	POS	AND
5672961	5672961	PP2A dephosphorylates inactive RAFs	Reaction	5672728_output	5672728	dephosphorylated inactive RAFS:YWHAB dimer [cytosol]	Complex	POS	AND
5674496	5674496	Activated MAPKs phosphorylate MAP2K1	Reaction	5674489_output	5674489	p-2S,T MAP2K1:p-2S MAPK2K2 heterodimer [cytosol]	Complex	POS	AND
9657603	9657603	Dual mechanism MAPK inhibitors bind MAPKs	Reaction	9657603_9657590	9657590	activated RAF:scaffold:p-2S MAP2K:MAPK:dual mechanism MAPK inhibitors [plasma membrane]	Complex	POS	AND
5672965	5672965	RAS GEFs promote RAS nucleotide exchange	Reaction	5672965_109783	109783	p21 RAS:GTP [plasma membrane]	Complex	POS	AND
5672966	5672966	RAS:GTP:'activator' RAF homo/heterodimerizes with other RAF monomers	Reaction	5672733_output	5672733	p21 RAS:GTP:homo/heterodimerized RAF complex [plasma membrane]	Complex	POS	AND
5674373	5674373	MAP2Ks phosphorylate MAPK at the Golgi membrane	Reaction	5674362_output	5674362	IL17RD:p-2S MAP2Ks:p-T,Y MAPKs [Golgi membrane]	Complex	POS	AND
9657606	9657606	Single mechanism MAP2K inhibitors bind phosphorylated MAP2Ks	Reaction	9657606_9657587	9657587	activated RAF:scaffold:p-2S  MAP2K:MAPK:single mechanism MAP2K inhibitors [plasma membrane]	Complex	POS	AND
5672969	5672969	Phosphorylation of RAF	Reaction	5672718_output	5672718	p21 RAS:GTP:activated RAF homo/heterodimer complexes [plasma membrane]	Complex	POS	AND
9653514	9653514	USP17L2 deubiquitinates RCE1	Reaction	5689096_output	5689096	PolyUb [cytosol]	DefinedSet	POS	AND
9653514	9653514	USP17L2 deubiquitinates RCE1	Reaction	9656592_output	9656592	RCE1 [endoplasmic reticulum membrane]	EntityWithAccessionedSequence	POS	AND
9657608	9657608	Single mechanism MAPK inhibitors bind phosphorylated MAPK	Reaction	9657592_output	9657592	activated RAF:scaffold:p-2S MAP2K:p-2T MAPK:single mechanism MAPK inhibitors [plasma membrane]	Complex	POS	AND
5672972	5672972	MAP2Ks and MAPKs bind to the activated RAF complex	Reaction	5672972_5672720	5672720	activated RAF:scaffold:MAP2K:MAPK complex [plasma membrane]	Complex	POS	AND
9660557	9660557	RAS:GTP binds RAL GDS proteins	Reaction	9660554_output	9660554	S-Farn-Me_2xPalmS HRAS:GTP:RAL GDS proteins [plasma membrane]	Complex	POS	AND
9658253	9658253	RAS:GTP binds PI3K	Reaction	9658249_output	9658249	p21 RAS:GTP:PI3K [plasma membrane]	Complex	POS	AND
9647991	9647991	Palmostatin B binds RAS depalmitoylases	Reaction	9647991_9647947	9647947	Palmostatin B:LYPLA1 dimer, ABHD17A,B,C [cytosol]	Complex	POS	AND
5672973	5672973	MAP2Ks phosphorylate MAPKs	Reaction	5672724_output	5672724	activated RAF:scaffold:p-2S MAP2K:p-2T MAPK complex [plasma membrane]	Complex	POS	AND
5674385	5674385	p-T,Y MAPKs dimerize	Reaction	5674385_1268261	1268261	p-T,Y MAPK dimers [cytosol]	DefinedSet	POS	AND
5672978	5672978	RAF phosphorylates MAP2K dimer	Reaction	5672978_5672723	5672723	activated RAF:scaffold:p-2S MAP2K:MAPK complex [plasma membrane]	Complex	POS	AND
5672980	5672980	Dissociation of RAS:RAF complex	Reaction	5672712_output	5672712	p21RAS:GTP:activated RAF homo/heterodimers [plasma membrane]	Complex	POS	AND
5672980	5672980	Dissociation of RAS:RAF complex	Reaction	5672717_output	5672717	RAF/MAPK scaffolds [cytosol]	CandidateSet	POS	AND
5672980	5672980	Dissociation of RAS:RAF complex	Reaction	169289_output	169289	p-T,Y MAPKs [cytosol]	DefinedSet	POS	AND
5672980	5672980	Dissociation of RAS:RAF complex	Reaction	5672721_output	5672721	p-2S MAP2K homo/heterodimers [cytosol]	DefinedSet	POS	AND
5674132	5674132	WDR83:LAMTOR2:LAMTOR3 binds MAPK components	Reaction	5674138_output	5674138	WDR83:LAMTOR2:LAMTOR3:activated RAF:MAP2K:MAPK complex [endosome membrane]	Complex	POS	AND
